103,"rajendra inst.of med.sci., ranchi"
259,"rajiv gandhi medical college, thane"
49,"rcsmgmc, kolhapur"
190,"regional dental college, guwahati"
99,"regional inst of medical sci, imphal"
188,"ruhs college of dental science, jaipur"
248,ruhs college of medical sciences
157,"rural dental college, loni"
53,"rural inst of med sci & research,saifai"
235,"rural medical college and pims, loni"
128,"s.c.b.medical coll(dental),cuttack"
204,"s.c.b.medical college, cuttack"
119,"s.m.s.medical college, jaipur"
30,"s.n.medical college, agra"
293,"s.s.medical college, rewa"
45,"sagar dutta medical college & hosp., kolkata"
100,"saheed laxman nayak med.college and hos., koraput"
291,"santosh dentall college and hsopital, ghaziabad"
124,"santosh medical college and hsopital, ghaziabad"
73,"sardar patel medical college, bikaner"
29,sathyabama univ.dental college and hospt.chennai
16,"saveetha dental college, chennai"
26,"saveetha medical college, chennai"
192,"sbks med.inst.and res.centre, sumandeep vidyapeeth"
57,"sbmpmch and rc, b.l.d.e univ., vijayapura"
43,"school of dental sciences and kimsdu, karad"
27,"sdu medical college, kolar"
41,"seth g.s.medical college, mumbai"
285,"sh vasant rao naik govt.m.c.,yavatmal"
290,sh.lal bahadur shastri govt.med.college.mandi
182,"sharad pawar dental college and hosp., wardha"
33,sheikh-ul-hind maulana mahmood hasan medical colle
2,"shimoga inst.of medical sci., shimoga"
200,"shkm gmc, nalhar, mewat, haryana"
276,"shri bhausaheb hire govt.m.c., dhule"
25,"shri sathya sai medical college and ri, kancheepuram"
184,"silchar medical college, silcher"
75,"sree balaji dental college and hosp., chennai"
180,"sree balaji medical college and hosp., chennai"
22,"sri krishna medical college, muzaffarpur"
39,"sri lakshmi narayana inst.of med.scien., puducherry"
274,"sri ramachandra dental and hospt., chennai"
238,"sri ramachandra med.college and res.inst., chennai"
110,"sri siddhartha dentalcollege, tumkur"
279,"sri siddhartha medical college du, tumkur"
209,"srm dental college, chennai"
77,srm katt.dental college and hospt.chennai
258,"srm medical college and hosp., chennai"
243,"stanley medical college, chennai"
48,"swami ramanand tirth rural m.c,ambajogai"
112,"t.d.medical college, allappuzha"
12,"tamilnadu govt d.c.& hosp, chennai"
50,"tezpur medical college, tezpur"
111,thaimoogambigai dental college and hsopt.chennai
219,"thanjavur medical coll.,thanjavur"
14,"theni govt.medical college, theni"
1,"thiruvannamalai mc, thiruvannamalai, tn"
292,"thoothukudi medical college,thoothukudi"
284,"topiwala national medical college,mumbai"
168,"univ. college of medical sciences, delhi"
239,"uttaranchal f hosp trust mc,haldwani"
287,"v.s.s.medical college, burla"
242,"vardhman institute of medical sciences, nalanda"
109,"vijaynagar inst of med.sc,bellary"
198,"vinayaka missions medical college and hosp., karaikal"
28,"vmkv medical college and hosp., salem"
270,"vmmc and safdarjung hosp., new delhi"
67,"vms dental college, salem"
97,"yenepoya dental college, yenepoya"
229,"yenepoya medical college, mangalore"
