62,C29715,"sri aurobindo institute of medical sciences,  sanwar road, indore"
106,C15585,sri devaraj urs medical college
132,C29146,"sri guru ram das institute of medical sciences & research, vpo vallah"
225,C43249,sri krishna medical college and hosp.
148,C6550,sri manakula vinayagar medical college  and hosp.
81,C45461,"sri muthukumaran medical college hosp. and research institute (inst.code - 349), chennai"
158,U478,"sri ramachandra medical college and research institute, chennai"
135,C36484,"sri siddhartha medical college, tumkur"
74,U36,"sri venkateswara institute of medical sciences, tirupathi"
303,C30408,"sri venkateswara medical college, tirupati"
220,C6536,sri venkateswaraa  medical college & hosp. & research centre
103,C47323,"srinivas institute of medical science and research centre, manglore"
86,C40453,st.john's medical college
277,C45403,"stanley medical college & hosp. (inst.code - 002), chennai"
68,C47429,"subbaiah institute of medical sciences, shimoga"
44,U154,"sumandeep vidyapeeth, vadodara"
29,C493,surat municipal institute of medical education & research centre (smimer)
205,C48141,sut academy of medical sciences
144,U737,swami rama himalayan univ.
315,U543,"swami vivekananda subharti univ., meerut"
37,C45462,"tagore medical college & hosp. (inst.code - 351), chennai"
216,C13892,"terna medical college, nerul, navi mumbai"
227,C45406,"thanjavur medical college (inst.code - 005), thanjavur"
82,C53597,the oxford medical college hosp.  research center
221,C47558,"theni government medical college (inst.code - 240), theni"
211,C45775,"thiruvarur government medical college and hosp. (inst.code - 400), thiruvarur"
1,C45917,"thoothukudi government medical college (inst.code - 160), thoothukudi"
198,C47556,"tirunelveli medical college (inst.code - 008), tirunelveli"
151,C13881,"topiwala national medical college, mumbai central, mumbai"
272,C48108,travancore medical college
163,C6430,univ. college of medical science & guru teg bahadur hosp.
191,C49564,vardhman institute of medical sciences
289,C32922,vardhman mahavir medical college & safdarjung hosp.
206,C56564,veer chandra singh garhwali govt institute of medical science and research 
27,C53186,velammal medical college hosp. and research institute (inst.code - 598)
114,C47557,"vellore government  medical college (inst.code - 221), vellore"
223,C40587,vijayanagar institute of medical sciences
214,C45731,"villupuram government medical college and hosp. (inst.code - 399), villupuram"
10,C10219,vinayaka mission's kirupananda variyar medical college and hosp.
24,C10215,vinayaka mission's medical college and hosp.
170,C40421,vydehi institute of medical sciences
169,C56802,world college of medical sciences and research and hosp.
212,C8526,yenepoya medical college
